Cycle,FECCandID,CID,FirstLastP,Party Original,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCode,NoPacs,State,District,Party,contrib_date,contrib_count,contrib_amount
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-18,1,250.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-20,3,6400.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-21,1,2700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-23,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-24,1,2700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-25,2,2000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-26,1,2700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-28,2,2750.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-29,15,20000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-30,5,5700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-04-07,1,2700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-04-25,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-06-01,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-06-10,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-06-15,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-06-26,1,276.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-07-10,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-08-20,1,2500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-09-16,1,250.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-09-24,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-09-28,5,11300.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-10-14,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-12-14,5,7500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-12-29,3,4500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-01-04,1,250.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-02-05,1,2500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-02-11,1,300.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-02-13,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-03-08,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-03-11,1,250.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-03-18,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-08,2,3700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-14,1,2700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-20,7,5500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-21,3,5650.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-22,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-25,4,4700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-26,3,2000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-27,9,5900.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-28,2,1500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-04-29,2,3200.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-05-02,23,30400.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-05-06,3,1500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-05-12,1,1700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-05-24,1,900.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-06-22,1,400.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-06-24,2,750.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-06-27,11,4500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-06-28,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-06-29,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-06-30,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-07-05,1,900.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-08-20,1,2000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-09-07,2,915.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-09-29,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-09-30,1,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-02,1,250.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-03,2,750.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-06,5,3000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-07,1,250.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-08,1,500.0
