name,id,match_attribute1,match_attribute2,match_attribute3,append_attribute1,append_attribute2,append_attribute3
CAROLYN B MALONEY,N00000078,D,NY,12,2016,,
JERROLD NADLER,N00000939,D,NY,10,2016,,
SEAN PATRICK MALONEY,N00034277,D,NY,18,2016,,
BRAD WENSTRUP,N00033310,R,OH,2,2016,,
MICHAEL R TURNER,N00025175,R,OH,10,2016,,
JOYCE BEATTY,N00033904,D,OH,3,2016,,
MARCY KAPTUR,N00003522,D,OH,9,2016,,
DAVID P JOYCE,N00035007,R,OH,14,2016,,
TIM RYAN,N00025280,D,OH,13,2016,,
JAMES BRIDENSTINE,N00033532,R,OK,1,2016,,
MARKWAYNE MULLIN,N00033410,R,OK,2,2016,,
TOM COLE,N00025726,R,OK,4,2016,,
SUZANNE BONAMICI,N00033474,D,OR,1,2016,,
CHAKA FATTAH,N00001746,D,PA,2,2016,,
SCOTT PERRY,N00034120,R,PA,4,2016,,
BILL SHUSTER,N00013770,R,PA,9,2016,,
LOU BARLETTA,N00025495,R,PA,11,2016,,
MATT CARTWRIGHT,N00034128,D,PA,17,2016,,
TIM MURPHY,N00024992,R,PA,18,2016,,
JAMES E CLYBURN,N00002408,D,SC,6,2016,,
JOE WILSON,N00024809,R,SC,2,2016,,
TOM RICE,N00033832,R,SC,7,2016,,
JIM COOPER,N00003132,D,TN,5,2016,,
MARSHA BLACKBURN,N00003105,R,TN,7,2016,,
EDDIE BERNICE JOHNSON,N00008122,D,TX,30,2016,,
SAM JOHNSON,N00008028,R,TX,3,2016,,
PETE SESSIONS,N00005681,R,TX,32,2016,,
JEB HENSARLING,N00024922,R,TX,5,2016,,
RANDY WEBER,N00033539,R,TX,14,2016,,
BETO O'ROURKE,N00033540,D,TX,16,2016,,
HENRY CUELLAR,N00024978,D,TX,28,2016,,
MICHAEL BURGESS,N00025219,R,TX,26,2016,,
FILEMON VELA,N00034349,D,TX,34,2016,,
GENE GREEN,N00005870,D,TX,29,2016,,
JOHN CARTER,N00025095,R,TX,31,2016,,
ROGER WILLIAMS,N00030602,R,TX,25,2016,,
MARC VEASEY,N00033839,D,TX,33,2016,,
JOAQUIN CASTRO,N00033316,D,TX,20,2016,,
ROB BISHOP,N00025292,R,UT,1,2016,,
CHRIS STEWART,N00033932,R,UT,2,2016,,
MIA LOVE,N00033842,R,UT,4,2016,,
RANDY FORBES,N00013799,R,VA,4,2016,,
BOB GOODLATTE,N00009154,R,VA,6,2016,,
DEREK KILMER,N00034453,D,WA,6,2016,,
MARK POCAN,N00033549,D,WI,2,2016,,
BRADLEY BYRNE,N00035380,R,AL,1,2016,,
GARY PALMER,N00035691,R,AL,6,2016,,
FRENCH HILL,N00035792,R,AR,2,2016,,
BRUCE WESTERMAN,N00035527,R,AR,4,2016,,
MATT SALMON,N00006446,R,AZ,5,2016,,
TRENT FRANKS,N00006423,R,AZ,8,2016,,
DAVID SCHWEIKERT,N00006460,R,AZ,6,2016,,
RUBEN GALLEGO,N00036097,D,AZ,7,2016,,
JERRY MCNERNEY,N00026926,D,CA,9,2016,,
ZOE LOFGREN,N00007479,D,CA,19,2016,,
SAM FARR,N00007312,D,CA,20,2016,,
JIM COSTA,N00026341,D,CA,16,2016,,
MAXINE WATERS,N00006690,D,CA,43,2016,,
STEVE KNIGHT,N00035820,R,CA,25,2016,,
TED LIEU,N00035825,D,CA,33,2016,,
NORMA TORRES,N00036107,D,CA,35,2016,,
MIMI WALTERS,N00035391,R,CA,45,2016,,
KENNETH R BUCK,N00030829,R,CO,4,2016,,
GWEN GRAHAM,N00035688,D,FL,2,2016,,
DAVID JOLLY,N00035717,R,FL,13,2016,,
CURT CLAWSON,N00035854,R,FL,19,2016,,
DEBBIE WASSERMAN SCHULTZ,N00026106,D,FL,23,2016,,
CARLOS CURBELO,N00035403,R,FL,26,2016,,
BUDDY CARTER,N00035346,R,GA,1,2016,,
TOM PRICE,N00026160,R,GA,6,2016,,
LYNN A WESTMORELAND,N00026163,R,GA,3,2016,,
BARRY LOUDERMILK,N00035347,R,GA,11,2016,,
DAVID YOUNG,N00035509,R,IA,3,2016,,
DANIEL LIPINSKI,N00027239,D,IL,3,2016,,
DANNY K DAVIS,N00004884,D,IL,7,2016,,
MIKE BOST,N00035420,R,IL,12,2016,,
PETE VISCLOSKY,N00003813,D,IN,1,2016,,
RALPH ABRAHAM,N00036633,R,LA,5,2016,,
GARRET GRAVES,N00036135,R,LA,6,2016,,
JAMES P MCGOVERN,N00000179,D,MA,2,2016,,
KATHERINE CLARK,N00035278,D,MA,5,2016,,
SETH MOULTON,N00035431,D,MA,6,2016,,
BRUCE POLIQUIN,N00034584,R,ME,2,2016,,
JOHN MOOLENAAR,N00036275,R,MI,4,2016,,
TIM WALBERG,N00026368,R,MI,7,2016,,
MIKE BISHOP,N00036449,R,MI,8,2016,,
DAVE TROTT,N00035607,R,MI,11,2016,,
DEBBIE DINGELL,N00036149,D,MI,12,2016,,
TOM EMMER,N00035440,R,MN,6,2016,,
EMANUEL CLEAVER,N00026790,D,MO,5,2016,,
JASON SMITH,N00035282,R,MO,8,2016,,
BENNIE G THOMPSON,N00003288,D,MS,2,2016,,
RYAN ZINKE,N00035616,R,MT,1,2016,,
G K BUTTERFIELD,N00027035,D,NC,1,2016,,
VIRGINIA FOXX,N00026166,R,NC,5,2016,,
MARK WALKER,N00035311,R,NC,6,2016,,
PATRICK MCHENRY,N00026627,R,NC,10,2016,,
ALMA ADAMS,N00035451,D,NC,12,2016,,
JEFF FORTENBERRY,N00026631,R,NE,1,2016,,
BRAD ASHFORD,N00005293,D,NE,2,2016,,
DON NORCROSS,N00036154,D,NJ,1,2016,,
THOMAS MACARTHUR,N00036155,R,NJ,3,2016,,
BONNIE COLEMAN,N00036158,D,NJ,12,2016,,
CRESENT HARDY,N00035628,R,NV,4,2016,,
KATHLEEN RICE,N00035927,D,NY,4,2016,,
YVETTE D CLARKE,N00026961,D,NY,9,2016,,
ELISE STEFANIK,N00035523,R,NY,21,2016,,
JOHN KATKO,N00035934,R,NY,24,2016,,
BRIAN M HIGGINS,N00027060,D,NY,26,2016,,
STEVEN RUSSELL,N00036175,R,OK,5,2016,,
FRANK D LUCAS,N00005559,R,OK,3,2016,,
MICHAEL G FITZPATRICK,N00027229,R,PA,8,2016,,
BRENDAN BOYLE,N00035307,D,PA,13,2016,,
CHARLIE DENT,N00026171,R,PA,15,2016,,
MIKE DOYLE,N00001373,D,PA,14,2016,,
MARK SANFORD,N00002424,R,SC,1,2016,,
TED POE,N00026457,R,TX,2,2016,,
LOUIS B GOHMERT JR,N00026148,R,TX,1,2016,,
JOHN LEE RATCLIFFE,N00035972,R,TX,4,2016,,
JOE BARTON,N00005656,R,TX,6,2016,,
AL GREEN,N00026686,D,TX,9,2016,,
LLOYD DOGGETT,N00006023,D,TX,35,2016,,
MICHAEL MCCAUL,N00026460,R,TX,10,2016,,
MAC THORNBERRY,N00006052,R,TX,13,2016,,
SHEILA JACKSON LEE,N00005818,D,TX,18,2016,,
RANDY NEUGEBAUER,N00026043,R,TX,19,2016,,
MIKE CONAWAY,N00026041,R,TX,11,2016,,
KENNY MARCHANT,N00026710,R,TX,24,2016,,
DAVE BRAT,N00036013,R,VA,7,2016,,
DON BEYER,N00036018,D,VA,8,2016,,
BARBARA COMSTOCK,N00036023,R,VA,10,2016,,
DANIEL MILTON NEWHOUSE,N00036403,R,WA,4,2016,,
CATHY MCMORRIS RODGERS,N00026314,R,WA,5,2016,,
DAVE REICHERT,N00026885,R,WA,8,2016,,
GWEN MOORE,N00026914,D,WI,4,2016,,
GLENN S GROTHMAN,N00036409,R,WI,6,2016,,
ALEX MOONEY,N00033814,R,WV,2,2016,,
EVAN JENKINS,N00035531,R,WV,3,2016,,
TRENT KELLY,N00037003,R,MS,1,2016,,
DAN DONOVAN,N00036928,R,NY,11,2016,,
DON YOUNG,N00007999,R,AK,1,2016,,
ROBERT B ADERHOLT,N00003028,R,AL,4,2016,,
DORIS O MATSUI,N00027459,D,CA,6,2016,,
KEVIN MCCARTHY,N00028152,R,CA,23,2016,,
BRAD SHERMAN,N00006897,D,CA,30,2016,,
ED ROYCE,N00008264,R,CA,39,2016,,
DIANA DEGETTE,N00006134,D,CO,1,2016,,
SCOTT TIPTON,N00027509,R,CO,3,2016,,
DOUGLAS L LAMBORN,N00028133,R,CO,5,2016,,
EDWIN G PERLMUTTER,N00027510,D,CO,7,2016,,
GUS BILIRAKIS,N00027462,R,FL,12,2016,,
KATHY CASTOR,N00027514,D,FL,14,2016,,
VERNON BUCHANAN,N00027626,R,FL,16,2016,,
HANK JOHNSON,N00027848,D,GA,4,2016,,
JOHN LEWIS,N00002577,D,GA,5,2016,,
DAVID LOEBSACK,N00027741,D,IA,2,2016,,
PETER ROSKAM,N00004719,R,IL,6,2016,,
TAMMY DUCKWORTH,N00027860,D,IL,8,2016,,
DARIN LAHOOD,N00037031,R,IL,18,2016,,
TIM HUELSKAMP,N00027649,R,KS,1,2016,,
JOHN A YARMUTH,N00028073,D,KY,3,2016,,
JOHN SARBANES,N00027751,D,MD,3,2016,,
ELIJAH E CUMMINGS,N00001971,D,MD,7,2016,,
JOHN CONYERS JR,N00004029,D,MI,13,2016,,
FRED UPTON,N00004133,R,MI,6,2016,,
CANDICE S MILLER,N00009795,R,MI,10,2016,,
TIM WALZ,N00027467,D,MN,1,2016,,
KEITH ELLISON,N00028257,D,MN,5,2016,,
DAVID PRICE,N00002260,D,NC,4,2016,,
ADRIAN SMITH,N00027623,R,NE,3,2016,,
BILL PASCRELL JR,N00000751,D,NJ,9,2016,,
LEONARD LANCE,N00000898,R,NJ,7,2016,,
ALBIO SIRES,N00027523,D,NJ,8,2016,,
LOUISE M SLAUGHTER,N00001311,D,NY,25,2016,,
CHARLES B RANGEL,N00000964,D,NY,13,2016,,
JIM JORDAN,N00027894,R,OH,4,2016,,
WARREN DAVIDSON,N00038767,R,OH,8,2016,,
GREG WALDEN,N00007690,R,OR,2,2016,,
EARL BLUMENAUER,N00007727,D,OR,3,2016,,
PETER DEFAZIO,N00007781,D,OR,4,2016,,
JOE PITTS,N00001633,R,PA,16,2016,,
PHIL ROE,N00028463,R,TN,1,2016,,
STEVE COHEN,N00003225,D,TN,9,2016,,
BRIAN BABIN,N00005736,R,TX,36,2016,,
KEVIN BRADY,N00005883,R,TX,8,2016,,
KAY GRANGER,N00008799,R,TX,12,2016,,
RUBEN HINOJOSA,N00006008,D,TX,15,2016,,
LAMAR SMITH,N00001811,R,TX,21,2016,,
BOBBY SCOTT,N00002147,D,VA,3,2016,,
PETER WELCH,N00000515,D,VT,1,2016,,
ADAM SMITH,N00007833,D,WA,9,2016,,
RON KIND,N00004403,D,WI,3,2016,,
MIKE THOMPSON,N00007419,D,CA,5,2016,,
TOM MCCLINTOCK,N00006863,R,CA,4,2016,,
NANCY PELOSI,N00007360,D,CA,12,2016,,
BARBARA LEE,N00008046,D,CA,13,2016,,
ANNA ESHOO,N00007335,D,CA,18,2016,,
JACKIE SPEIER,N00029649,D,CA,14,2016,,
DEVIN NUNES,N00007248,R,CA,22,2016,,
LOIS CAPPS,N00007232,D,CA,24,2016,,
GRACE NAPOLITANO,N00006789,D,CA,32,2016,,
JANICE HAHN,N00006806,D,CA,44,2016,,
DANA ROHRABACHER,N00007151,R,CA,48,2016,,
DUNCAN D HUNTER,N00029258,R,CA,50,2016,,
JARED POLIS,N00029127,D,CO,2,2016,,
MIKE COFFMAN,N00024753,R,CO,6,2016,,
JOHN B LARSON,N00000575,D,CT,1,2016,,
JIM HIMES,N00029070,D,CT,4,2016,,
BILL POSEY,N00029662,R,FL,8,2016,,
TOM ROONEY,N00029018,R,FL,17,2016,,
MIKE SIMPSON,N00006263,R,ID,2,2016,,
JAN SCHAKOWSKY,N00004724,D,IL,9,2016,,
BILL FOSTER,N00029139,D,IL,11,2016,,
ANDRE CARSON,N00029513,D,IN,7,2016,,
LYNN JENKINS,N00029077,R,KS,2,2016,,
BRETT GUTHRIE,N00029675,R,KY,2,2016,,
CEDRIC RICHMOND,N00030184,D,LA,2,2016,,
RICHARD E NEAL,N00000153,D,MA,1,2016,,
NIKI TSONGAS,N00029026,D,MA,3,2016,,
MICHAEL E CAPUANO,N00000267,D,MA,7,2016,,
ANDY HARRIS,N00029147,R,MD,1,2016,,
CHELLIE PINGREE,N00013817,D,ME,1,2016,,
ERIK PAULSEN,N00029391,R,MN,3,2016,,
JOHN KLINE,N00004436,R,MN,2,2016,,
BLAINE LUETKEMEYER,N00030026,R,MO,3,2016,,
GREGG HARPER,N00029632,R,MS,3,2016,,
FRANK PALLONE JR,N00000781,D,NJ,6,2016,,
CHRIS SMITH,N00009816,R,NJ,4,2016,,
SCOTT GARRETT,N00000743,R,NJ,5,2016,,
MICHELLE LUJAN GRISHAM,N00029400,D,NM,1,2016,,
BEN R LUJAN,N00029562,D,NM,3,2016,,
DINA TITUS,N00030191,D,NV,1,2016,,
LEE ZELDIN,N00029404,R,NY,1,2016,,
GREGORY W MEEKS,N00001171,D,NY,5,2016,,
JOSEPH CROWLEY,N00001127,D,NY,14,2016,,
ELIOT L ENGEL,N00001003,D,NY,16,2016,,
NITA M LOWEY,N00001024,D,NY,17,2016,,
PAUL TONKO,N00030196,D,NY,20,2016,,
RICHARD HANNA,N00030197,R,NY,22,2016,,
CHRIS COLLINS,N00001285,R,NY,27,2016,,
STEVE CHABOT,N00003689,R,OH,1,2016,,
BOB LATTA,N00012233,R,OH,5,2016,,
MARCIA L FUDGE,N00030490,D,OH,11,2016,,
STEVE STIVERS,N00029574,R,OH,15,2016,,
KURT SCHRADER,N00030071,D,OR,5,2016,,
ROBERT A BRADY,N00001619,D,PA,1,2016,,
GLENN THOMPSON,N00029736,R,PA,5,2016,,
JOHN J DUNCAN JR,N00003209,R,TN,2,2016,,
PETE OLSON,N00029285,R,TX,22,2016,,
JASON CHAFFETZ,N00028958,R,UT,3,2016,,
ROB WITTMAN,N00029459,R,VA,1,2016,,
GERRY CONNOLLY,N00029891,D,VA,11,2016,,
JIM MCDERMOTT,N00009829,D,WA,7,2016,,
PAUL RYAN,N00004357,R,WI,1,2016,,
JIM SENSENBRENNER,N00004291,R,WI,5,2016,,
CYNTHIA LUMMIS,N00029788,R,WY,1,2016,,
MARLIN STUTZMAN,N00030891,R,IN,3,2016,,
ANN KIRKPATRICK,N00029260,D,AZ,1,2016,,
LORETTA SANCHEZ,N00008274,D,CA,46,2016,,
PATRICK MURPHY,N00033091,D,FL,18,2016,,
ALAN GRAYSON,N00028418,D,FL,9,2016,,
TODD YOUNG,N00030670,R,IN,9,2016,,
CHARLES W BOUSTANY JR,N00026595,R,LA,3,2016,,
JOHN FLEMING,N00029679,R,LA,4,2016,,
CHRIS VAN HOLLEN,N00013820,D,MD,8,2016,,
DONNA EDWARDS,N00028249,D,MD,4,2016,,
JOE HECK,N00031244,R,NV,3,2016,,
