date,first_name,last_name,subject,id,neutral_score,anger_score,joy_score,disgust_score,sadness_score,surprise_score,fear_score
2015-01-05 12:13:20,Joyce,Beatty,TOMORROW: Open House for the 114th Congress and Legislative Outlook,100986,0.7628815174102783,,0.11774925142526627,,0.013168084435164928,0.0933082327246666,0.0071121156215667725
2015-01-05 12:13:20,Adam,Schiff,2014 End of the Year Report,100984,0.23863141238689423,0.004817118402570486,0.6967865824699402,,0.04080621525645256,0.011913980357348919,
2015-01-05 12:13:20,H.,Griffith,Congressman Griffith's Weekly E-Newsletter 1.5.15,100983,0.9218754768371582,0.021466746926307678,0.00778277637436986,0.012938893400132656,,0.025669347494840622,
2015-01-05 15:00:00,Thomas,Rooney,Mobile Office Hours in Arcadia This Friday,100982,0.8858056664466858,,0.012815156951546669,,0.009286630898714066,0.07159072160720825,0.011514382436871529
2015-01-05 17:46:40,André,Carson,Welcome to the 114th Congress!,100979,0.24766288697719574,,0.5279104113578796,,0.04921881482005119,0.0810989961028099,0.07935989648103714
2015-01-05 17:46:40,H.,Griffith,Griffith Statement on Speaker of the 114th Congress,100978,0.4444834887981415,0.4696275293827057,,0.024158956483006477,0.02251005545258522,,0.02157229743897915
2015-01-05 17:46:40,Kevin,McCarthy,The Leader's Weekly Schedule - Week of 1/5/15,100977,0.8941233158111572,,0.01836489327251911,,0.02154584228992462,0.032980777323246,0.019441699609160423
2015-01-05 17:46:40,Richard,Nolan,My Priorities for the 114th,100975,0.901309072971344,,0.04640546813607216,0.0075430311262607574,0.008288034237921238,,0.023382151499390602
2015-01-05 17:46:40,Daniel,Webster,Welcome 2015!,100974,0.3487328290939331,,0.4910911023616791,,0.02732299081981182,0.02882085181772709,0.08622439950704575
2015-01-05 20:33:20,Randy,Neugebauer,Randy's Roundup: New Congress Set to Start with a Vote on My Windstorm Bill,100973,0.12882018089294434,,0.814628541469574,,0.015552420169115067,0.03247297182679176,0.003852622117847204
2015-01-05 20:33:20,Pete,Olson,113th Congress (2013-2014) In Review,100972,0.8269545435905457,,0.06395673751831055,,0.018821638077497482,0.019546572118997574,0.061369094997644424
2015-01-05 20:33:20,Candice,Miller,Rep. Miller Outlines Legislative Priorities for 2015,100980,0.8726228475570679,0.01696365885436535,0.05170392617583275,,,0.012891670688986778,0.030448079109191895
2015-01-05 23:20:00,Terri,Sewell,Guide to Grants Issue 197- January 5 2015,100976,0.40092015266418457,0.006528305355459452,0.5379253625869751,,0.007360204588621855,0.039555080235004425,
2015-01-06 02:06:40,Jim,Bridenstine,I will not vote for John Boehner.,100971,0.1468099057674408,0.7156824469566345,,0.07290777564048767,0.026637904345989227,,0.019220098853111267
2015-01-06 10:26:40,J.,Forbes,instaPoll: rate our work,100970,0.6674079895019531,0.00897297728806734,0.25479206442832947,,0.007480686530470848,0.05379044637084007,
2015-01-06 13:13:20,Dina,Titus,From the Hill to the Las Vegas Valley: Working Hard on Behalf of Southern Nevada,100963,0.6987081170082092,0.005293159745633602,0.24556849896907806,,0.007986340671777725,0.03586500138044357,
2015-01-06 13:13:20,Jeff,Denham,Tell me what you think,100962,0.8868291974067688,0.01957457698881626,0.01826212927699089,,0.022001247853040695,0.031688887625932693,
2015-01-06 13:13:20,J.,Forbes,How to Get Defense Right in 2015,100966,0.6733933687210083,,0.028244871646165848,,0.07288043946027756,0.08222492784261703,0.11583815515041351
2015-01-06 13:13:20,Gregg,Harper,Miss. Delegation Endorses Federal Disaster Declaration,100969,0.9309511184692383,0.008277318440377712,,,0.014591824263334274,0.011241248808801174,0.02561425417661667
