date,first_name,last_name,subject,joy_score,neutral_score,surprise_score,fear_score,sadness_score,anger_score,disgust_score
2016-06-06 16:20:00,Sam,Graves,Too Good to be True,,0.7645123600959778,,0.011217772960662842,0.05195820331573486,0.10201188176870346,0.06120382621884346
2016-06-06 19:06:40,Lou,Barletta,The Barletta Bulletin,0.08100831508636475,0.15614229440689087,0.013347918167710304,,0.7245238423347473,,0.014358379878103733
2016-06-06 19:06:40,Randy,Neugebauer,Randy's Roundup: A Trip to Europe and the Middle East,,0.6154179573059082,0.026377620175480843,0.3114467263221741,0.014436512254178524,0.018235722556710243,
2016-06-06 19:06:40,Mark,Walker,"The Walker Weekly Report: June 6, 2016",0.45667538046836853,0.44024282693862915,0.05873212218284607,0.013809191063046455,0.01638164184987545,,
2016-06-06 19:06:40,J.,Forbes,The Price We Pay for Political Correctness ,,0.0832204669713974,,0.4715975821018219,0.016092127189040184,0.08486475795507431,0.3354562819004059
2016-06-06 19:06:40,Daniel,Webster,Our new arrival!,0.8996824622154236,0.04166046902537346,0.045190081000328064,,0.009066374972462654,0.0023267739452421665,
2016-06-06 19:06:40,Kevin,Yoder,"Wyandotte County Sheriff's Memorial Unveiling, Increasing Organ Donation, Ninth Anniversary of Kelsey Smith's Death",0.5738880634307861,0.26978254318237305,0.058531634509563446,,0.07878953963518143,0.008609379641711712,
2016-06-06 19:06:40,Jody,Hice,Hice on the Homefront,0.708516001701355,0.2218790501356125,0.05361317843198776,,0.004940298851579428,0.004965836647897959,
2016-06-06 21:53:20,Harold,Rogers,SOAR Drives Innovation at 3rd Summit,0.09481197595596313,0.7265411615371704,0.15114478766918182,0.007715775165706873,0.010657710023224354,,
2016-06-07 11:46:40,Candice,Miller,The Macomb Daily: Four Macomb County students headed to service academies,0.06137031689286232,0.06649690121412277,0.11744173616170883,0.7294562458992004,0.014895839616656303,,
2016-06-07 11:46:40,Robert,Hurt,Robert's Round-Up: Shifting The Focus From Permitting To Progress,,0.4944581389427185,,0.03090379573404789,0.08323708921670914,0.17729036509990692,0.18601734936237335
2016-06-07 11:46:40,Frank,Guinta,Survey: Bailout for Puerto Rico?,,0.4556754231452942,,0.3604929745197296,0.04146912321448326,0.0695621445775032,0.05072009190917015
2016-06-07 11:46:40,Roger,Williams,A Newsletter from Congressman Roger Williams,0.010724249295890331,0.04850650206208229,0.01161986030638218,0.012109298259019852,0.9126119613647461,,
2016-06-07 11:46:40,Ileana,Ros-Lehtinen,"As Global Terror Threat Continues to Evolve, Iran Remains Foremost State Sponsor of Terror, Yet Administration Still Lacks Counter-ISIS Strategy and is Lax in Iran Sanctions Application",,0.190714493393898,,0.7315047979354858,0.02669849433004856,0.023376446217298508,0.019270459190011024
2016-06-07 14:33:20,Paul,Cook,"Congressman Paul Cook's Newsletter: June 7, 2016",0.023225553333759308,0.8795074820518494,0.046168144792318344,0.01224206481128931,0.025112882256507874,,
2016-06-07 14:33:20,J.,Forbes,"Washington Free Beacon: Congressman: Obama Admin Failing to Screen, Track Foreign Immigrants",,0.40742769837379456,0.0414746031165123,0.2543005049228668,,0.20404285192489624,0.06134875863790512
2016-06-07 14:33:20,Will,Hurd,more control or less control?,,0.1554892361164093,0.007897017523646355,0.8144736886024475,0.006377957295626402,0.0063742599450051785,
2016-06-07 14:33:20,Richard,Hudson,The Stanly News and Press: Hudson lends vets an ear,,0.7852910161018372,0.012754963710904121,0.1324053406715393,0.028113408014178276,0.02385694533586502,
2016-06-07 14:33:20,Darin,LaHood,Taking Care of Business: District Work Week,0.2001655250787735,0.6745262145996094,0.09373181313276291,,0.008771906606853008,0.014013620093464851,
2016-06-07 17:20:00,Paul,Ryan,Fighting Poverty on the Front Lines,,0.9343051910400391,0.00947448518127203,,0.021137656643986702,0.009699336253106594,0.01863773912191391
2016-06-07 17:20:00,Doug,Lamborn,Reforming the VA,,0.943119466304779,,0.007284040097147226,0.007864190265536308,0.018289485946297646,0.010031107813119888
2016-06-07 17:20:00,Tim,Murphy,Key Vote Alert: Should Congress put the brakes on the bailout of Puerto Rico?,,0.4738587737083435,,0.17359356582164764,0.14836356043815613,0.12362273037433624,0.06892135739326477
2016-06-07 17:20:00,Vern,Buchanan,Tax Reform = Job Creation,,0.6665486097335815,0.021487604826688766,,0.2109556943178177,0.04926328361034393,0.02677423320710659
2016-06-07 17:20:00,Steven,Palazzo,Taking Care of Not?,,0.7525107860565186,0.0329461507499218,,0.1426413506269455,0.02016380988061428,0.03885769844055176
2016-06-07 17:20:00,J.,Hill,Weekly Newsletter,0.016522422432899475,0.5948245525360107,0.0495777428150177,0.07594612240791321,0.2532944977283478,,
2016-06-07 17:20:00,Scott,Perry,Perry's Policy Preview,0.03147101029753685,0.6977230310440063,0.015519722364842892,0.22411666810512543,,0.01246617641299963,
2016-06-07 20:06:40,Jim,Bridenstine,Supporting our warfighters and their families,0.28783005475997925,0.5966119766235352,,0.04361305013298988,,0.025157567113637924,0.025377053767442703
2016-06-07 20:06:40,Ileana,Ros-Lehtinen,House Passes Ros-Lehtinen-Deutch Resolution Urging German Government To Honor Its Commitment To Holocaust Survivors,,0.7043280005455017,,0.06943679600954056,0.08872444927692413,0.05713595449924469,0.0517239049077034
2016-06-07 20:06:40,Adrian,Smith,Relief from Obamacare failures,0.06790957599878311,0.7823077440261841,0.06552145630121231,,0.06617226451635361,0.008803480304777622,
2016-06-07 22:53:20,Kevin,McCarthy,The Leader's Daily Schedule - 6/8/16,0.008987612091004848,0.9245452284812927,0.03410537540912628,0.012364475056529045,0.011112341657280922,,
2016-06-08 10:00:00,Harold,Rogers,Appropriations Committee Releases Fiscal Year 2017 Homeland Security Bill,0.010134200565516949,0.9178489446640015,0.029410026967525482,0.01985267363488674,0.012437956407666206,,
2016-06-08 10:00:00,Reid,Ribble,Hear from Indian Prime Minister Modi Live!,0.09317070990800858,0.8375122547149658,0.04580089449882507,,0.013853146694600582,0.0038047521375119686,
2016-06-08 10:00:00,Michael,Simpson,"Congressman Simpson E-Newsletter Week of June 6, 2016",0.2538808286190033,0.6481262445449829,0.06123780831694603,,0.012687219306826591,0.012613517232239246,
2016-06-08 12:46:40,Doug,Lamborn,Gazette Op-Ed: Real Reform at the VA,,0.7955808043479919,,0.040168777108192444,0.02902834676206112,0.06909843534231186,0.04832368716597557
2016-06-08 12:46:40,J.,Forbes,They deserve nothing less,,0.7920534610748291,,0.0312933549284935,0.025080526247620583,0.1066485121846199,0.025055909529328346
2016-06-08 15:33:20,Martha,McSally,"Wow, what a week!",0.772420346736908,0.13946397602558136,0.07297333329916,,0.0053568934090435505,0.004128532018512487,
2016-06-08 15:33:20,Patrick,Tiberi,#OH12 Update / Did you miss this news?,0.013334161601960659,0.0584183968603611,0.012389887124300003,0.9080144762992859,0.004345542285591364,,
2016-06-08 15:33:20,Doug,Lamborn,BREAKING NEWS: Colorado Home to Enormous Natural Gas Reserve,0.08247057348489761,0.6703783869743347,0.19201719760894775,0.021637270227074623,,0.021207420155405998,
2016-06-08 18:20:00,J.,Forbes,InstaPoll: REINS Act,,0.8784550428390503,0.05013545975089073,0.019889336079359055,,0.023782949894666672,0.011893890798091888
2016-06-08 18:20:00,Cresent,Hardy,House Passes Hardy Legislation Protecting Eastern Nevada Lands,0.17831319570541382,0.7685158252716064,0.01350474078208208,0.012738866731524467,0.01142212375998497,,
2016-06-08 23:53:20,Evan,Jenkins,Rep. Evan Jenkins: The EPA is at it again.,0.041898611932992935,0.8308746814727783,0.00956081785261631,,0.07736099511384964,0.024259161204099655,
2016-06-08 23:53:20,Kevin,McCarthy,The Leader's Daily Schedule - 6/9/16,0.009114966727793217,0.9309612512588501,0.03625188395380974,0.00731655303388834,0.008053441531956196,,
2016-06-09 08:13:20,J.,Forbes,American Spectator: The Obama Navy as Farce,,0.019283907487988472,0.21657763421535492,0.6907934546470642,,0.057393159717321396,0.007806773297488689
2016-06-09 11:00:00,Earl,Carter,TAKE MY POLL: Puerto Rico,,0.2040451020002365,,0.6228827834129333,0.08303457498550415,0.053956057876348495,0.021712778136134148
2016-06-09 11:00:00,J.,Forbes,ICYMI: Good news for our region,0.8938779830932617,0.044390324503183365,0.05091213434934616,,0.003260099794715643,0.003926314879208803,
2016-06-09 16:33:20,Thomas,Massie,Press Release: Representatives Massie and Jones Introduce Amendment To Cut Post-Speaker Office,,0.8693616390228271,0.027463549748063087,,0.016120782122015953,0.05728578194975853,0.016300702467560768
2016-06-09 19:20:00,Doug,Lamborn,Voting NO on PROMESA for Puerto Rico,,0.01550776045769453,0.007332442328333855,0.012572618201375008,0.9527918100357056,,0.007871938869357109
2016-06-09 19:20:00,J.,Forbes,"The Diplomat: As South China Sea Verdict Nears, Washington Must Stand with Manila",0.21216870844364166,0.37123870849609375,,0.2940259873867035,,0.07625231891870499,0.021800372749567032
2016-06-09 19:20:00,Ileana,Ros-Lehtinen,"On The House Floor, Ros-Lehtinen Spoke About The 100th Anniversary Of Deering Estate And Why It Is A South Florida Treasure",,0.8925245404243469,0.025831429287791252,0.018113337457180023,0.04119877517223358,0.010437878780066967,
2016-06-09 22:06:40,Kevin,McCarthy,The Leader's Daily Schedule - 6/10/16,,0.8884018063545227,0.02867523953318596,0.027536053210496902,0.020975640043616295,0.01539469975978136,
2016-06-10 09:13:20,J.,Forbes,This Matters,0.06148786097764969,0.8817524909973145,0.021563174203038216,0.01008506491780281,,0.016531318426132202,
2016-06-10 09:13:20,Marlin,Stutzman,Stutzman Legislative Update 6.10 ,0.3091706335544586,0.6285059452056885,0.035450104624032974,0.010155543684959412,,0.007001633755862713,
2016-06-10 12:00:00,J.,Forbes,Why Hampton Roads Matters to National Security: A Primer,0.037780728191137314,0.81941819190979,0.1220925822854042,,,0.00839313492178917,0.004613651428371668
2016-06-10 12:00:00,Michael,McCaul,President Obama has been the worst foreign policy president in our lifetimes,,0.23153330385684967,0.018014369532465935,0.20585386455059052,0.5089859962463379,,0.0217864029109478
2016-06-10 12:00:00,Raúl,Labrador,Calling High School Coders: Enter the Congressional App Challenge,0.1325848549604416,0.43150991201400757,0.417945921421051,,,0.00726075004786253,0.00541430851444602
2016-06-10 12:00:00,Blaine,Luetkemeyer,Blaine's Bulletin: Honoring Flag Day,0.04867129772901535,0.9230358600616455,0.010234823450446129,,,0.005995572544634342,0.004822447430342436
2016-06-10 14:46:40,K.,Conaway,"Conaway Chronicle: Taking a Stand Against Obama's Energy Regulations, Touring the I-20 Wildlife Preserve, Blue Star Memorial Marker Dedication Ceremony",0.6117985844612122,0.1360509842634201,,0.02583831176161766,0.02978801727294922,0.16163726150989532,
2016-06-10 14:46:40,James,Renacci,Renacci Report: Week In Review,0.5918437838554382,0.33214816451072693,0.02552420273423195,,0.03779313340783119,0.005704633891582489,
2016-06-10 14:46:40,Doug,Lamborn,Helping the Families of Fallen Veterans,0.01822669990360737,0.7946844696998596,0.01806812360882759,,0.13941043615341187,,0.013903466984629631
2016-06-10 14:46:40,Virginia,Foxx,"Foxx Report for the Week of June 10, 2016",0.15471290051937103,0.7444411516189575,0.018874920904636383,0.03753772750496864,,0.019364356994628906,
2016-06-10 14:46:40,Marsha,Blackburn,This Week in Washington,0.6200406551361084,0.3096142113208771,0.03290326148271561,,0.020358271896839142,0.007217855658382177,
2016-06-10 14:46:40,Tom,MacArthur,Instapoll: Combating the Zika Outbreak,0.01156636979430914,0.498654305934906,0.011799613013863564,0.4435518682003021,0.018714919686317444,,
2016-06-10 14:46:40,Will,Hurd,40 cases reported in Texas,,0.11836965382099152,0.007285041734576225,0.8504999876022339,0.008426890708506107,0.007103946525603533,
2016-06-10 14:46:40,Jeff,Denham,"200,000 Miles",0.15019893646240234,0.7899904251098633,0.011995789594948292,0.023028992116451263,,0.011822160333395004,
